date,close,open,high,low
20/05/2022,2.258,2.258,2.258,2.258
19/05/2022,2.266,2.266,2.266,2.266
18/05/2022,2.286,2.286,2.286,2.286
17/05/2022,2.272,2.272,2.272,2.272
16/05/2022,2.376,2.376,2.376,2.376
13/05/2022,2.394,2.394,2.394,2.394
12/05/2022,2.353,2.353,2.353,2.353
11/05/2022,2.283,2.283,2.283,2.283
10/05/2022,2.264,2.264,2.264,2.264
09/05/2022,2.281,2.281,2.281,2.281
06/05/2022,2.231,2.231,2.231,2.231
05/05/2022,2.205,2.205,2.205,2.205
04/05/2022,2.187,2.187,2.187,2.187
03/05/2022,2.093,2.093,2.093,2.093
02/05/2022,2.093,2.093,2.093,2.093
29/04/2022,2.143,2.143,2.143,2.143
28/04/2022,2.156,2.156,2.156,2.156
27/04/2022,2.155,2.155,2.155,2.155
26/04/2022,2.188,2.188,2.188,2.188
25/04/2022,2.216,2.216,2.216,2.216
22/04/2022,2.19,2.19,2.19,2.19
21/04/2022,2.182,2.182,2.182,2.182
20/04/2022,2.212,2.212,2.212,2.212
19/04/2022,2.217,2.217,2.217,2.217
18/04/2022,2.306,2.306,2.306,2.306
15/04/2022,2.29,2.29,2.29,2.29
14/04/2022,2.298,2.298,2.298,2.298
13/04/2022,2.323,2.323,2.323,2.323
12/04/2022,2.367,2.367,2.367,2.367
11/04/2022,2.124,2.124,2.124,2.124
08/04/2022,2.174,2.174,2.174,2.174
07/04/2022,2.088,2.088,2.088,2.088
06/04/2022,2.308,2.308,2.308,2.308
05/04/2022,1.884,1.884,1.884,1.884
04/04/2022,1.776,1.776,1.776,1.776
01/04/2022,1.782,1.737,1.782,1.737
31/03/2022,1.724,1.724,1.724,1.724
30/03/2022,1.735,1.735,1.735,1.735
29/03/2022,1.724,1.724,1.724,1.724
28/03/2022,1.768,1.768,1.768,1.768
25/03/2022,1.767,1.767,1.767,1.767
24/03/2022,1.821,1.821,1.821,1.821
23/03/2022,1.82,1.82,1.82,1.82
22/03/2022,1.879,1.879,1.879,1.879
21/03/2022,1.888,1.888,1.888,1.888
18/03/2022,1.775,1.775,1.775,1.775
17/03/2022,1.751,1.751,1.751,1.751
16/03/2022,1.664,1.664,1.664,1.664
15/03/2022,1.76,1.76,1.76,1.76
14/03/2022,1.567,1.567,1.567,1.567
11/03/2022,1.579,1.579,1.579,1.579
10/03/2022,1.489,1.489,1.489,1.489
09/03/2022,1.576,1.576,1.576,1.576
08/03/2022,1.629,1.629,1.629,1.629
07/03/2022,1.691,1.691,1.691,1.691
04/03/2022,1.68,1.68,1.68,1.68
03/03/2022,1.673,1.673,1.673,1.673
02/03/2022,1.559,1.559,1.559,1.559
01/03/2022,1.601,1.497,1.601,1.497
28/02/2022,1.495,1.495,1.495,1.495
25/02/2022,1.392,1.392,1.392,1.392
24/02/2022,1.25,1.25,1.25,1.25
23/02/2022,1.18,1.18,1.18,1.18
22/02/2022,1.17,1.17,1.17,1.17
21/02/2022,1.171,1.171,1.171,1.171
18/02/2022,1.163,1.163,1.163,1.163
17/02/2022,1.161,1.161,1.161,1.161
16/02/2022,0.962,0.962,0.962,0.962
